Ticker,Score,ROA,Margin,Debt_to_Equity
MMM,-0.7932979984,0.087419994,0.11902001,4.37937
AOS,0.029224000000000014,0.1254,0.13149,0.36766
ABT,-0.05853199840000001,0.05328,0.116450004,0.63212
ABBV,0.08124000440000001,0.105100006,0.098000005,0.0
ACN,0.036166000000000004,0.10903,0.10656,0.25035
ADBE,0.07157400399999998,0.19926001,0.28689,0.61443
AMD,0.07009800000000001,0.05128,0.15577,0.06361
AES,-0.4445560000000001,0.02964,0.1434,2.5688600000000004
AFL,0.01342199999999999,0.0313,0.26908,0.5336500000000001
A,-7.994399999988744e-06,0.086330004,0.19533001,0.56336
APD,-0.20275400119999998,0.047319997,-0.00375,1.1009099999999998
ABNB,0.0423479992,0.061389998,0.2045,0.32004
AKAM,-0.34525599960000003,0.025150001,0.09507,1.96672
ALB,-0.010112000000000003,0.03165,0.03795,0.18975999999999998
ARE,-0.277943992,0.00928,-0.36078998,0.6867
ALGN,0.063862,0.07402,0.09991,0.02855
ALLE,-0.10424200000000003,0.1103,0.15357,1.04895
LNT,-0.23832200000000003,0.02448,0.18447,1.60951
ALL,0.0660740016,0.086780004,0.18971,0.22261
GOOGL,0.23320199600000005,0.12958999,0.54771,0.18859
GOOG,0.23320199600000005,0.12958999,0.54771,0.18859
MO,0.27418800000000004,0.29548,0.38999,0.0
AMZN,0.004882000000000011,0.06589,0.1744,0.45616999999999996
AMCR,-0.22350000120000002,0.035669997,0.04705,1.2829400000000002
AEE,-0.22913200040000004,0.030569999,0.18583,1.57846
AEP,-0.2545340036,0.029790001,0.13781999,1.6078899999999998
AXP,-0.26502799920000003,0.037920002,0.16141,1.7238
AIG,0.006484000000000004,0.01765,0.11089,0.22466
AMT,-0.7335379999999999,0.04893,0.31083,4.38721
AWK,-0.176038,0.03516,0.21347,1.37745
AMP,-0.04645599960000002,0.022750001,0.199,0.67578
AME,0.07178000000000001,0.08162,0.20044,0.20521999999999999
AMGN,-0.8540899959999999,0.08667,0.22951001,4.90281
APH,-0.11202199600000001,0.14473,0.17729001,1.20415
ADI,0.090144,0.06406,0.29787,0.27314
AON,-0.214574,0.05829,0.22268,1.6348099999999999
APA,0.026940000000000006,0.11598,0.19564,0.48854
APO,-0.1771059994,0.0094099995,0.052670002,1.00969
AAPL,0.061914,0.27082002,0.27618998,0.78445
AMAT,0.12480400400000001,0.15482001,0.30052,0.28666
APP,0.22188397600000004,0.4646,0.64575994,1.1113
APTV,-0.09872799800000001,0.067150004,0.010720001,0.6493800000000001
ACGL,0.07841199600000001,0.04124,0.24396999,0.17836
ADM,-0.0606160008,0.02257,0.021559998,0.39134
ARES,-0.2918679996,0.025940001,0.10628,1.7237799999999999
ANET,0.20996,0.14119,0.38371,0.0
AJG,-0.06802200000000003,0.02317,0.10378,0.59401
AIZ,-0.030553999999999998,0.02564,0.07903,0.36211
T,-0.173684,0.04163,0.16943,1.29054
ATO,-0.005768000000000023,0.03893,0.28496,0.6766200000000001
ADSK,-0.08883200400000002,0.11472999,0.21078,1.09518
ADP,-0.07744799840000002,0.062470004,0.20109,0.9143600000000001
AZO,0.09515200000000001,0.11389,0.12399,0.0
AVY,-0.2532419976,0.08394,0.076220006,1.58653
AXON,-0.073926,0.00509,0.06191,0.50363
BKR,-0.09777000200000002,0.04853,0.111669995,0.80925
BALL,-0.21801800119999998,0.046329997,0.0661,1.31495
BAC,0.12197200000000001,0.00969,0.29524,0.0
BAX,-0.33857000080000005,0.028499998,-0.09268,1.5644900000000002
BDX,-0.10356,0.0434,0.0419,0.6884
BRK-B,0.0789400016,0.060100004,0.22296,0.17142
BBY,-0.21912200000000004,0.07254,0.03014,1.3009700000000002
TECH,0.059132000000000004,0.06671,0.14968,0.13712
BIIB,-0.03454200280000001,0.052059997,0.083229996,0.44329
BLK,0.06492000399999999,0.03737,0.24089001,0.23192000000000002
BX,0.011862000000000011,0.1433,0.22728,0.6818500000000001
XYZ,-0.051415999999999996,0.0201,0.01426,0.3258
BNY,0.12267999240000002,0.012560001,0.29413998,0.0
BA,-1.5793219996000003,-0.01984,0.025910001,7.90875
BKNG,0.183628,0.2038,0.25527,0.0
BSX,-0.005541999999999991,0.06191,0.17499,0.50151
BMY,-0.285358,0.10719,0.18871,2.01859
AVGO,0.113756,0.15297,0.42944,0.59604
BR,-0.15055000000000002,0.09295,0.15037,1.23939
BRO,-0.034086008,0.05381,0.18084998,0.63975
BF-B,-0.014831995999999986,0.08627,0.18416001,0.61502
BLDR,-0.24917600016000002,0.02389,0.0070999996,1.30786
BG,-0.17771400000000004,0.03472,0.01097,0.9799500000000001
BXP,-0.37931400000000004,0.01683,0.09304,2.11631
CHRW,-0.18763999800000003,0.099580005,0.03726,1.21188
CDNS,0.05954999999999999,0.10613,0.23605,0.38661
CPT,-0.16134,0.01867,0.20622,1.25648
COF,0.093560004,0.01523,0.21867001,0.0
CAH,0.0175839988,0.037219997,0.00674,0.0
CCL,-0.3366959960000001,0.05367,0.11237001,2.0155600000000002
CARR,-0.1499959992,0.02982,0.055180002,0.91998
CVNA,-0.1499479984,0.116960004,0.06257,1.1088
CASY,-0.0928900008,0.07912,0.041389998,0.7054699999999999
CAT,-0.37140200240000004,0.090299994,0.14511,2.32783
CBOE,0.09706800000000002,0.11578,0.26734,0.2809
CBRE,-0.21333399960000005,0.02585,0.029760001,1.17789
CDW,-0.48182800000000015,0.06585,0.04597,2.6327800000000003
COR,-0.8756400000000001,0.03559,0.00789,4.46516
CNC,-0.14356399999999997,0.02479,-0.02829,0.7108199999999999
CNP,-0.3620760008,0.029979998,0.11611,2.10256
CF,0.07921600000000004,0.12934,0.27122,0.40503999999999996
CRL,-0.217518,0.04107,-0.05963,1.05047
SCHW,-0.13876799959999997,0.020680001,0.38793,1.5110599999999998
CHTR,-0.825704,0.05311,0.09052,4.41578
CVX,0.024861999999999995,0.05861,0.09834,0.18959
CMG,-0.3946999984,0.13075,0.114250004,2.4635
CB,0.02383399600000001,0.03358,0.18070999,0.30940999999999996
CHD,-0.03238200199999999,0.07873,0.119569995,0.55851
CIEN,-0.14057999999999998,0.07734,0.10869,1.07496
CI,-0.12164399920000002,0.04462,0.022720002,0.7429000000000001
CINF,0.110498004,0.06409,0.23843001,0.05255
CTAS,0.030123999999999998,0.161,0.17754,0.52646
CSCO,-0.008317997999999993,0.079780005,0.20951,0.62017
C,0.08998000388000002,0.0066299997,0.21832001,0.0
CFG,0.10796400000000002,0.0094,0.26051,0.0
CLX,-4.3746340016000005,0.08321,0.087349996,22.214290000000002
CME,0.23052200000000003,0.01481,0.63443,0.14587
CMS,-0.31275600000000003,0.02971,0.11642,1.8560400000000001
KO,-0.07920200000000005,0.09401,0.28558,1.1551900000000002
CTSH,0.05501400000000002,0.10735,0.10258,0.14479
COHR,-0.004415999999999989,0.03393,0.11309,0.31611999999999996
COIN,-0.162876,0.01116,-0.16344,0.5098199999999999
CL,-2.6742420016,0.15838,0.096829996,13.88163
CMCSA,-0.14785199920000003,0.043080002,0.08966,1.00474
FIX,0.02827800000000001,0.17039,0.12775,0.45488999999999996
COP,0.016453999999999996,0.07533,0.144,0.35639000000000004
ED,-0.157146,0.03237,0.12533,1.10113
STZ,-0.13153800400000001,0.08574,0.20143999,1.23205
CEG,-0.0929619984,0.03888,0.110810004,0.7641899999999999
COO,-0.03381799960000001,0.025190001,0.05573,0.33093000000000006
CPRT,0.177153988,0.11336,0.33481997,0.010589999999999999
GLW,-0.0766280016,0.05367,0.111999996,0.7144799999999999
CPAY,-0.43442600000000003,0.06316,0.22723,2.75291
CTVA,0.002461999200000009,0.04546,0.056649998,0.19191
CSGP,-0.018886000000000003,0.00466,0.02081,0.14537
COST,-0.07380999799999999,0.086660005,0.0301,0.6025699999999999
CRH,-0.09119999799999998,0.06061,0.099350005,0.7759199999999999
CRWD,-0.03170400012,-0.0078100003,0.00834,0.15958
CCI,0.10176400000000001,0.04725,0.20716,0.0
CSX,-0.15776800400000004,0.07383,0.22208999,1.3806800000000001
CMI,-0.0598959984,0.069970004,0.07822,0.59586
CVS,-0.1743940008,0.029679999,0.011849999,0.95503
DHR,-0.026351999999999987,0.03949,0.15948,0.5297
DRI,-0.66159,0.07722,0.09134,3.64507
DDOG,-0.03988999916000001,0.0018000001,0.044770002,0.29259
DVA,-2.4297160012000005,0.07515,0.060489997,12.419860000000002
DECK,0.11367800000000003,0.20319,0.18361,0.20521
DE,-0.6963360000000001,0.03759,0.10168,3.76022
DELL,0.06431600000000001,0.08554,0.07525,0.0
DAL,-0.154086,0.04019,0.05784,0.96649
DVN,0.036516,0.05909,0.17464,0.28488
DXCM,0.015104001600000014,0.103310004,0.20118,0.5334599999999999
FANG,-0.01600800000000001,0.01308,0.09029,0.28678000000000003
DLR,-0.08268400000000001,0.01476,0.11825,0.67944
DG,-0.30445000120000004,0.048899997,0.03903,1.69811
DLTR,-0.382702,0.08262,0.08035,2.2394499999999997
D,-0.25281400400000004,0.03041,0.13984999,1.60459
DPZ,0.1830240024,0.33892,0.118640006,0.0
DASH,-0.03349600040000001,0.029719999,0.05292,0.33276000000000006
DOV,-0.002484004000000012,0.07061,0.13475999,0.42316000000000004
DOW,-0.2311420004,0.012999999,-0.03129,1.11913
